Year	RaceNumber	RaceName	DriverNumber	Driver	Team	GridPosition	LapNumber	Compound	TyreLife	TyresChange	TrackStatus	ResultStatus	QualyPosition	DriverStandings	Position	TimeLap	TimeDiffAhead	TimeDiffBehind	TimeDiffToLeader	TimePit	NumberPitStops	HasPitLap	DriverAhead	DriverBehind	DriverAheadPit	DriverBehindPit	GoodPitStop
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	1	SOFT	4.0	0	2	Finished	1	0	1	00:01:39.019000	0 days 00:00:00	0 days 00:00:01.211000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	2	SOFT	5.0	0	2	Finished	1	0	1	00:01:37.974000	0 days 00:00:00	0 days 00:00:01.987000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	3	SOFT	6.0	0	1	Finished	1	0	1	00:01:38.006000	0 days 00:00:00	0 days 00:00:02.639000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	4	SOFT	7.0	0	1	Finished	1	0	1	00:01:37.976000	0 days 00:00:00	0 days 00:00:03.488000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	5	SOFT	8.0	0	1	Finished	1	0	1	00:01:38.035000	0 days 00:00:00	0 days 00:00:04.117000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	6	SOFT	9.0	0	1	Finished	1	0	1	00:01:37.986000	0 days 00:00:00	0 days 00:00:04.703000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	7	SOFT	10.0	0	1	Finished	1	0	1	00:01:38.021000	0 days 00:00:00	0 days 00:00:05.373000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	8	SOFT	11.0	0	1	Finished	1	0	1	00:01:38.154000	0 days 00:00:00	0 days 00:00:05.833000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	9	SOFT	12.0	0	1	Finished	1	0	1	00:01:38.278000	0 days 00:00:00	0 days 00:00:06.383000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	10	SOFT	13.0	0	1	Finished	1	0	1	00:01:38.369000	0 days 00:00:00	0 days 00:00:07.087000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	11	SOFT	14.0	0	1	Finished	1	0	1	00:01:38.483000	0 days 00:00:00	0 days 00:00:07.816000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	12	SOFT	15.0	0	1	Finished	1	0	1	00:01:38.591000	0 days 00:00:00	0 days 00:00:08.714000	0 days 00:00:00	0	0	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	13	SOFT	16.0	0	1	Finished	1	0	1	00:01:38.482000	0 days 00:00:00	0 days 00:00:11.018000	0 days 00:00:00	0	0	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	14	SOFT	17.0	0	1	Finished	1	0	1	00:01:41.295000	0 days 00:00:00	0 days 00:00:08.462000	0 days 00:00:00	24.289	1	1		PER	0	0	1
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	15	SOFT	1.0	0	1	Finished	1	0	2	00:01:58.378000	0 days 00:00:11.308000	0 days 00:00:09.874000	0 days 00:00:11.308000	0	1	0	PER	LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	16	SOFT	2.0	0	1	Finished	1	0	2	00:01:37.801000	0 days 00:00:10.339000	0 days 00:00:10.026000	0 days 00:00:10.339000	0	1	0	PER	LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	17	SOFT	3.0	0	1	Finished	1	0	2	00:01:37.648000	0 days 00:00:06.627000	0 days 00:00:10.409000	0 days 00:00:06.627000	0	1	0	PER	LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	18	SOFT	4.0	0	1	Finished	1	0	1	00:01:37.614000	0 days 00:00:00	0 days 00:00:10.593000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	19	SOFT	5.0	0	1	Finished	1	0	1	00:01:37.712000	0 days 00:00:00	0 days 00:00:10.739000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	20	SOFT	6.0	0	1	Finished	1	0	1	00:01:37.788000	0 days 00:00:00	0 days 00:00:10.582000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	21	SOFT	7.0	0	1	Finished	1	0	1	00:01:37.582000	0 days 00:00:00	0 days 00:00:10.753000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	22	SOFT	8.0	0	1	Finished	1	0	1	00:01:37.651000	0 days 00:00:00	0 days 00:00:11.264000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	23	SOFT	9.0	0	1	Finished	1	0	1	00:01:37.552000	0 days 00:00:00	0 days 00:00:11.766000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	24	SOFT	10.0	0	1	Finished	1	0	1	00:01:37.387000	0 days 00:00:00	0 days 00:00:12.351000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	25	SOFT	11.0	0	1	Finished	1	0	1	00:01:37.372000	0 days 00:00:00	0 days 00:00:13.520000	0 days 00:00:00	0	1	0		LEC	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	26	SOFT	12.0	0	1	Finished	1	0	1	00:01:37.682000	0 days 00:00:00	0 days 00:00:13.874000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	27	SOFT	13.0	0	1	Finished	1	0	1	00:01:37.379000	0 days 00:00:00	0 days 00:00:13.882000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	28	SOFT	14.0	0	1	Finished	1	0	1	00:01:37.651000	0 days 00:00:00	0 days 00:00:13.442000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	29	SOFT	15.0	0	1	Finished	1	0	1	00:01:37.571000	0 days 00:00:00	0 days 00:00:13.604000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	30	SOFT	16.0	0	1	Finished	1	0	1	00:01:37.549000	0 days 00:00:00	0 days 00:00:13.455000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	31	SOFT	17.0	0	1	Finished	1	0	1	00:01:37.431000	0 days 00:00:00	0 days 00:00:13.943000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	32	SOFT	18.0	0	1	Finished	1	0	1	00:01:37.691000	0 days 00:00:00	0 days 00:00:13.974000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	33	SOFT	19.0	0	1	Finished	1	0	1	00:01:37.686000	0 days 00:00:00	0 days 00:00:14.157000	0 days 00:00:00	0	1	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	34	SOFT	20.0	0	1	Finished	1	0	1	00:01:37.839000	0 days 00:00:00	0 days 00:00:17.004000	0 days 00:00:00	0	1	0		PER	0	1	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	35	SOFT	21.0	0	1	Finished	1	0	1	00:01:37.850000	0 days 00:00:00	0 days 00:00:37.939000	0 days 00:00:00	0	1	0		PER	0	1	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	36	SOFT	22.0	0	1	Finished	1	0	1	00:01:40.964000	0 days 00:00:00	0 days 00:00:33.795000	0 days 00:00:00	24.910	2	1		PER	0	0	1
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	37	HARD	1.0	0	1	Finished	1	0	1	00:01:58.490000	0 days 00:00:00	0 days 00:00:11.649000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	38	HARD	2.0	1	1	Finished	1	0	1	00:01:36.297000	0 days 00:00:00	0 days 00:00:11.783000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	39	HARD	3.0	1	1	Finished	1	0	1	00:01:36.446000	0 days 00:00:00	0 days 00:00:11.766000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	40	HARD	4.0	1	1	Finished	1	0	1	00:01:36.942000	0 days 00:00:00	0 days 00:00:11.938000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	41	HARD	5.0	1	26	Finished	1	0	1	00:02:00.495000	0 days 00:00:00	0 days 00:00:14.965000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	42	HARD	6.0	1	67	Finished	1	0	1	00:01:44.824000	0 days 00:00:00	0 days 00:00:09.798000	0 days 00:00:00	0	2	0		PER	0	0	0
2023	1	Bahrain Grand Prix	1	VER	Red Bull Racing	1	43	HARD	7.0	1	1	Finished	1	0	1	00:01:36.890000	0 days 00:00:00	0 days 00:00:09.462000	0 days 00:00:00	0	2	0		PER	0	0	0
