Year,RaceNumber,RaceName,DriverNumber,Driver,Team,GridPosition,LapNumber,Compound,TyreLife,NumberPitStops_x,Tyres_change,TrackStatus,ResultStatus,QualyPosition,DriverStandings,PointsChampionship,Position,TimeLap,TimeDiffAhead,TimeDiffBehind,TimeDiffToLeader,TimePit,NumberPitStops_y,HasPitLap,DriverAhead,DriverBehind,DriverAheadPit,DriverBehindPit,GoodPitStop
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,1,SOFT,1,0,0,1,Finished,1,0,0,1,00:01:39.070000,0 days 00:00:00,0 days 00:00:01.166000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,2,SOFT,2,0,0,1,Finished,1,0,0,1,00:01:37.853000,0 days 00:00:00,0 days 00:00:01.193000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,3,SOFT,3,0,0,1,Finished,1,0,0,1,00:01:38.272000,0 days 00:00:00,0 days 00:00:01.278000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,4,SOFT,4,0,0,1,Finished,1,0,0,1,00:01:38.414000,0 days 00:00:00,0 days 00:00:01.430000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,5,SOFT,5,0,0,1,Finished,1,0,0,1,00:01:38.471000,0 days 00:00:00,0 days 00:00:01.836000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,6,SOFT,6,0,0,1,Finished,1,0,0,1,00:01:38.712000,0 days 00:00:00,0 days 00:00:02.064000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,7,SOFT,7,0,0,1,Finished,1,0,0,1,00:01:38.835000,0 days 00:00:00,0 days 00:00:02.291000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,8,SOFT,8,0,0,1,Finished,1,0,0,1,00:01:38.951000,0 days 00:00:00,0 days 00:00:02.432000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,9,SOFT,9,0,0,1,Finished,1,0,0,1,00:01:38.807000,0 days 00:00:00,0 days 00:00:02.876000,0 days 00:00:00,0,0,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,10,SOFT,10,0,0,1,Finished,1,0,0,1,00:01:39.123000,0 days 00:00:00,0 days 00:00:03.145000,0 days 00:00:00,0,0,0,,VER,0,0,0
