Year	RaceNumber	RaceName	DriverNumber	Driver	Team	GridPosition	LapNumber	Compound	TyreLife	TyresChange	TrackStatus	ResultStatus	QualyPosition	DriverStandings	Position	TimeLap	TimeDiffAhead	TimeDiffBehind	TimeDiffToLeader	TimePit	NumberPitStops	HasPitLap	DriverAhead	DriverBehind	DriverAheadPit	DriverBehindPit	GoodPitStop
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	1	MEDIUM	4.0	0	24	Finished	2	0	2	00:01:59.538000	0 days 00:00:01.293000	0 days 00:00:03.160000	0 days 00:00:01.293000	0	0	0	VER	LEC	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	2	MEDIUM	5.0	0	4	Finished	2	0	2	00:02:22.712000	0 days 00:00:01.599000	0 days 00:00:01.631000	0 days 00:00:01.599000	0	0	0	VER	LEC	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	3	MEDIUM	6.0	0	4	Finished	2	0	2	00:02:36.656000	0 days 00:00:00.254000	0 days 00:00:00.163000	0 days 00:00:00.254000	0	0	0	VER	LEC	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	4	MEDIUM	7.0	0	26	Finished	2	0	2	00:01:44.932000	0 days 00:00:00.843000	0 days 00:00:01.334000	0 days 00:00:00.843000	0	0	0	VER	LEC	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	5	MEDIUM	8.0	0	67	Finished	2	0	2	00:01:45.139000	0 days 00:00:01.353000	0 days 00:00:01.738000	0 days 00:00:01.353000	0	0	0	VER	LEC	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	6	MEDIUM	9.0	0	1	Finished	2	0	2	00:01:36.169000	0 days 00:00:01.540000	0 days 00:00:03.109000	0 days 00:00:01.540000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	7	MEDIUM	10.0	0	1	Finished	2	0	2	00:01:36.123000	0 days 00:00:01.761000	0 days 00:00:03.341000	0 days 00:00:01.761000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	8	MEDIUM	11.0	0	1	Finished	2	0	2	00:01:36.075000	0 days 00:00:01.804000	0 days 00:00:03.288000	0 days 00:00:01.804000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	9	MEDIUM	12.0	0	1	Finished	2	0	2	00:01:36.148000	0 days 00:00:01.940000	0 days 00:00:04.226000	0 days 00:00:01.940000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	10	MEDIUM	13.0	0	1	Finished	2	0	2	00:01:36.082000	0 days 00:00:01.847000	0 days 00:00:04.549000	0 days 00:00:01.847000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	11	MEDIUM	14.0	0	1	Finished	2	0	2	00:01:36.143000	0 days 00:00:01.811000	0 days 00:00:04.790000	0 days 00:00:01.811000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	12	MEDIUM	15.0	0	1	Finished	2	0	2	00:01:36.507000	0 days 00:00:01.726000	0 days 00:00:04.743000	0 days 00:00:01.726000	0	0	0	VER	BOT	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	13	MEDIUM	16.0	0	1	Finished	2	0	2	00:01:38.924000	0 days 00:00:04.359000	0 days 00:00:02.242000	0 days 00:00:04.359000	24.839	1	1	VER	BOT	0	0	1
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	14	HARD	1.0	0	1	Finished	2	0	4	00:01:55.006000	0 days 00:00:00.972000	0 days 00:00:02.761000	0 days 00:00:22.485000	0	1	0	SAI	PER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	15	HARD	2.0	1	1	Finished	2	0	3	00:01:34.057000	0 days 00:00:13.502000	0 days 00:00:05.557000	0 days 00:00:19.618000	0	1	0	BOT	PER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	16	HARD	3.0	1	1	Finished	2	0	3	00:01:35.104000	0 days 00:00:09.072000	0 days 00:00:06.979000	0 days 00:00:17.689000	0	1	0	BOT	PER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	17	HARD	4.0	1	1	Finished	2	0	2	00:01:35.099000	0 days 00:00:13.635000	0 days 00:00:08.942000	0 days 00:00:13.635000	0	1	0	VER	PER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	18	HARD	5.0	1	1	Finished	2	0	1	00:01:35.266000	0 days 00:00:00	0 days 00:00:06.631000	0 days 00:00:00	0	1	0		VER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	19	HARD	6.0	1	1	Finished	2	0	1	00:01:35.346000	0 days 00:00:00	0 days 00:00:05.706000	0 days 00:00:00	0	1	0		VER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	20	HARD	7.0	1	1	Finished	2	0	1	00:01:35.324000	0 days 00:00:00	0 days 00:00:05.252000	0 days 00:00:00	0	1	0		VER	0	0	0
2021	1	Bahrain Grand Prix	44	HAM	Mercedes	2	21	HARD	8.0	1	1	Finished	2	0	1	00:01:35.837000	0 days 00:00:00	0 days 00:00:04.244000	0 days 00:00:00	0	1	0		VER	0	0	0
