Year	RaceNumber	RaceName	DriverNumber	Driver	Team	GridPosition	LapNumber	Compound	TyreLife	TyresChange	TrackStatus	ResultStatus	QualyPosition	DriverStandings	Position	TimeLap	TimeDiffAhead	TimeDiffBehind	TimeDiffToLeader	TimePit	NumberPitStops	HasPitLap	DriverAhead	DriverBehind	DriverAheadPit	DriverBehindPit	GoodPitStop
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	1	SOFT	4.0	0	1	Finished	1	2	1	00:01:17.665000	0 days 00:00:00	0 days 00:00:01.734000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	2	SOFT	5.0	0	1	Finished	1	2	1	00:01:14.978000	0 days 00:00:00	0 days 00:00:02.151000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	3	SOFT	6.0	0	1	Finished	1	2	1	00:01:14.813000	0 days 00:00:00	0 days 00:00:02.383000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	4	SOFT	7.0	0	1	Finished	1	2	1	00:01:14.917000	0 days 00:00:00	0 days 00:00:02.291000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	5	SOFT	8.0	0	1	Finished	1	2	1	00:01:14.882000	0 days 00:00:00	0 days 00:00:02.511000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	6	SOFT	9.0	0	1	Finished	1	2	1	00:01:14.900000	0 days 00:00:00	0 days 00:00:02.729000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	7	SOFT	10.0	0	1	Finished	1	2	1	00:01:15.108000	0 days 00:00:00	0 days 00:00:03.051000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	8	SOFT	11.0	0	1	Finished	1	2	1	00:01:15.138000	0 days 00:00:00	0 days 00:00:03.271000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	9	SOFT	12.0	0	1	Finished	1	2	1	00:01:15.133000	0 days 00:00:00	0 days 00:00:02.888000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	10	SOFT	13.0	0	1	Finished	1	2	1	00:01:15.061000	0 days 00:00:00	0 days 00:00:02.953000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	11	SOFT	14.0	0	1	Finished	1	2	1	00:01:15.228000	0 days 00:00:00	0 days 00:00:02.907000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	12	SOFT	15.0	0	1	Finished	1	2	1	00:01:14.917000	0 days 00:00:00	0 days 00:00:02.990000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	13	SOFT	16.0	0	1	Finished	1	2	1	00:01:15.062000	0 days 00:00:00	0 days 00:00:03.037000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	14	SOFT	17.0	0	1	Finished	1	2	1	00:01:15.059000	0 days 00:00:00	0 days 00:00:03.504000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	15	SOFT	18.0	0	1	Finished	1	2	1	00:01:15.138000	0 days 00:00:00	0 days 00:00:03.505000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	16	SOFT	19.0	0	1	Finished	1	2	1	00:01:15.177000	0 days 00:00:00	0 days 00:00:03.489000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	17	SOFT	20.0	0	1	Finished	1	2	1	00:01:15.446000	0 days 00:00:00	0 days 00:00:03.461000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	18	SOFT	21.0	0	1	Finished	1	2	1	00:01:15.331000	0 days 00:00:00	0 days 00:00:03.606000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	19	SOFT	22.0	0	1	Finished	1	2	1	00:01:15.632000	0 days 00:00:00	0 days 00:00:03.593000	0 days 00:00:00	0	0	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	20	SOFT	23.0	0	1	Finished	1	2	1	00:01:15.938000	0 days 00:00:00	0 days 00:00:06.747000	0 days 00:00:00	0	0	0		HAM	0	1	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	21	SOFT	24.0	0	1	Finished	1	2	1	00:01:18.594000	0 days 00:00:00	0 days 00:00:07.247000	0 days 00:00:00	19.142	1	1		BOT	0	0	1
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	22	MEDIUM	1.0	0	1	Finished	1	2	2	00:01:32.574000	0 days 00:00:09.734000	0 days 00:00:01.885000	0 days 00:00:09.734000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	23	MEDIUM	2.0	1	1	Finished	1	2	2	00:01:14.223000	0 days 00:00:07.999000	0 days 00:00:01.896000	0 days 00:00:07.999000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	24	MEDIUM	3.0	1	1	Finished	1	2	2	00:01:14.257000	0 days 00:00:05.770000	0 days 00:00:01.877000	0 days 00:00:05.770000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	25	MEDIUM	4.0	1	1	Finished	1	2	2	00:01:14.607000	0 days 00:00:04.238000	0 days 00:00:01.688000	0 days 00:00:04.238000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	26	MEDIUM	5.0	1	1	Finished	1	2	2	00:01:15.352000	0 days 00:00:03.770000	0 days 00:00:01.263000	0 days 00:00:03.770000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	27	MEDIUM	6.0	1	1	Finished	1	2	2	00:01:14.393000	0 days 00:00:02.655000	0 days 00:00:01.657000	0 days 00:00:02.655000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	28	MEDIUM	7.0	1	1	Finished	1	2	2	00:01:14.683000	0 days 00:00:01.375000	0 days 00:00:01.548000	0 days 00:00:01.375000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	29	MEDIUM	8.0	1	1	Finished	1	2	2	00:01:15.222000	0 days 00:00:00.554000	0 days 00:00:02.529000	0 days 00:00:00.554000	0	1	0	BOT	HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	30	MEDIUM	9.0	1	1	Finished	1	2	1	00:01:16.362000	0 days 00:00:00	0 days 00:00:00.058000	0 days 00:00:00	0	1	0		BOT	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	31	MEDIUM	10.0	1	1	Finished	1	2	1	00:01:15.134000	0 days 00:00:00	0 days 00:00:01.592000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	32	MEDIUM	11.0	1	1	Finished	1	2	1	00:01:14.886000	0 days 00:00:00	0 days 00:00:01.709000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	33	MEDIUM	12.0	1	1	Finished	1	2	1	00:01:14.794000	0 days 00:00:00	0 days 00:00:01.643000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	34	MEDIUM	13.0	1	1	Finished	1	2	1	00:01:14.468000	0 days 00:00:00	0 days 00:00:01.754000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	35	MEDIUM	14.0	1	1	Finished	1	2	1	00:01:15.001000	0 days 00:00:00	0 days 00:00:01.562000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	36	MEDIUM	15.0	1	1	Finished	1	2	1	00:01:14.715000	0 days 00:00:00	0 days 00:00:01.568000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	37	MEDIUM	16.0	1	2	Finished	1	2	1	00:01:14.029000	0 days 00:00:00	0 days 00:00:02.055000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	38	MEDIUM	17.0	1	1	Finished	1	2	1	00:01:14.212000	0 days 00:00:00	0 days 00:00:02.631000	0 days 00:00:00	0	1	0		HAM	0	0	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	39	MEDIUM	18.0	1	1	Finished	1	2	1	00:01:13.921000	0 days 00:00:00	0 days 00:00:05.837000	0 days 00:00:00	0	1	0		HAM	0	1	0
2021	13	Dutch Grand Prix	33	VER	Red Bull Racing	1	40	MEDIUM	19.0	1	1	Finished	1	2	1	00:01:16.990000	0 days 00:00:00	0 days 00:00:21.110000	0 days 00:00:00	18.578	2	1		HAM	0	0	1
